,ISO_3166-1_numeric_code,Country_name
0,32,Argentina
1,36,Australia
2,40,Austria
3,68,Bolivia (Plurinational State of)
4,76,Brazil
5,84,Belize
6,108,Burundi
7,124,Canada
8,140,Central African Rep.
9,152,Chile
10,156,China
11,170,Colombia
12,174,Comoros
13,188,Costa Rica
14,191,Croatia
15,196,Cyprus
16,203,Czechia
17,208,Denmark
18,218,Ecuador
19,222,El Salvador
20,233,Estonia
21,246,Finland
22,251,France
23,270,Gambia
24,276,Germany
25,300,Greece
26,308,Grenada
27,320,Guatemala
28,344,"China, Hong Kong SAR"
29,348,Hungary
30,352,Iceland
31,360,Indonesia
32,372,Ireland
33,376,Israel
34,380,Italy
35,384,Côte d'Ivoire
36,392,Japan
37,398,Kazakhstan
38,410,Rep. of Korea
39,428,Latvia
40,440,Lithuania
41,446,"China, Macao SAR"
42,450,Madagascar
43,454,Malawi
44,458,Malaysia
45,462,Maldives
46,470,Malta
47,480,Mauritius
48,484,Mexico
49,498,Rep. of Moldova
50,504,Morocco
51,512,Oman
52,528,Netherlands
53,554,New Zealand
54,558,Nicaragua
55,562,Niger
56,579,Norway
57,591,Panama
58,600,Paraguay
59,604,Peru
60,616,Poland
61,620,Portugal
62,642,Romania
63,662,Saint Lucia
64,670,Saint Vincent and the Grenadines
65,690,Seychelles
66,699,India
67,702,Singapore
68,703,Slovakia
69,705,Slovenia
70,724,Spain
71,752,Sweden
72,757,Switzerland
73,764,Thailand
74,780,Trinidad and Tobago
75,788,Tunisia
76,792,Türkiye
77,800,Uganda
78,807,North Macedonia
79,818,Egypt
80,826,United Kingdom
81,834,United Rep. of Tanzania
82,842,USA
83,854,Burkina Faso
84,858,Uruguay
85,894,Zambia
